ZIP Code,DMV ID,Vehicle Name,Registration Valid Date,Registration Expiration Date
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
21094,1,Chevrolet Volt,6/3/19,
19057,1,Ford Fusion Energi,6/3/19,
20619,1,Ford Fusion Energi,6/3/19,
20772,1,Ford Fusion Energi,6/3/19,
21152,1,Nissan Leaf,6/3/19,
23094,1,Chevrolet Bolt EV,6/3/19,
23094,1,Chevrolet Volt,6/3/19,
23666,1,Toyota Prius Prime,6/3/19,
28806,1,Ford C-Max Energi,6/3/19,
30009,1,Tesla Model 3,6/3/19,
30096,1,Ford C-Max Energi,6/3/19,
30101,1,Chevrolet Volt,6/3/19,
30340,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Focus EV,6/3/19,
30348,1,Ford Focus EV,6/3/19,
30348,1,Ford Focus EV,6/3/19,
30348,1,Ford Focus EV,6/3/19,
30348,1,Ford Focus EV,6/3/19,
30348,1,Ford C-Max Energi,6/3/19,
30348,1,Ford C-Max Energi,6/3/19,
30348,1,Ford C-Max Energi,6/3/19,
30348,1,Ford C-Max Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Ford Fusion Energi,6/3/19,
30348,1,Toyota Prius Prime,6/3/19,
30348,1,Toyota Prius Prime,6/3/19,
30348,1,Toyota Prius Prime,6/3/19,
30348,1,Toyota Prius Prime,6/3/19,
30348,1,Toyota Prius Prime,6/3/19,
30348,1,Toyota Prius Prime,6/3/19,
30348,1,Toyota Prius Prime,6/3/19,
30348,1,Toyota Prius Prime,6/3/19,
32255,1,BMW i8,6/3/19,
38153,1,Chevrolet Bolt EV,6/3/19,
38163,1,Chevrolet Volt,6/3/19,
43016,1,BMW i3,6/3/19,
43016,1,BMW i3,6/3/19,
43016,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
43026,1,BMW i3,6/3/19,
